Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C17, C21, C25, C29, C33, C37, C41, C45, C49, C5, C53, C57, C61, C9",0402,16,10pF,
"C10, C14, C18, C2, C22, C26, C30, C34, C38, C42, C46, C50, C54, C58, C6, C62",0402,16,10u,
"C11, C15, C19, C23, C27, C3, C31, C35, C39, C43, C47, C51, C55, C59, C63, C7",0402,16,100n,
"C12, C16, C20, C24, C28, C32, C36, C4, C40, C44, C48, C52, C56, C60, C64, C8",0402,16,680n,
"F1, F10, F11, F12, F13, F14, F15, F16, F2, F3, F4, F5, F6, F7, F8, F9",0805,16,Polyfuse,
"FB1, FB10, FB11, FB12, FB13, FB14, FB15, FB16, FB17, FB18, FB19, FB2, FB20, FB21, FB22, FB23, FB24, FB25, FB26, FB27, FB28, FB29, FB3, FB30, FB31, FB32, FB4, FB5, FB6, FB7, FB8, FB9",0201,32,FerriteBead,
"J1, J11, J13, J15, J17, J19, J2, J21, J23, J25, J27, J29, J31, J5, J7, J9",USB_C_Receptacle_Bottom_Up SMD,16,USB_C_Receptacle_USB2.0_16P,
"J10, J12, J14, J16, J18, J20, J22, J24, J26, J28, J3, J30, J32, J4, J6, J8",JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,16,Conn_01x04_Socket,
"L1, L10, L11, L12, L13, L14, L15, L16, L2, L3, L4, L5, L6, L7, L8, L9",L_CommonMode_Wurth_WE-CNSW-1206,16,Choke_Wurth_WE-CNSW_744232090,
"R1, R10, R13, R16, R19, R22, R25, R28, R31, R34, R37, R4, R40, R43, R46, R7",0402,16,1M,
"R11, R12, R14, R15, R17, R18, R2, R20, R21, R23, R24, R26, R27, R29, R3, R30, R32, R33, R35, R36, R38, R39, R41, R42, R44, R45, R47, R48, R5, R6, R8, R9",0402,32,5.1K,
"U1, U10, U11, U12, U13, U14, U15, U16, U2, U3, U4, U5, U6, U7, U8, U9",SOT-23-6,16,WE-TVS-82400102,
